"","Name","Year","Cause","Date","Size","Class","Latitude","Longitude","State"
"1","BLUE",2018,"Natural","9/9/2018 0:00",0.1,"A",42.64611111,-108.8838889,"WY"
"2","MARY",2018,"Recreation and ceremony","9/9/2018 0:00",0.1,"A",40.58722222,-111.5911111,"UT"
"3","HIDDEN",2018,"Recreation and ceremony","9/9/2018 0:00",0.01,"A",41.21055556,-122.9077778,"CA"
"4","SAWTOOTH",2018,"Recreation and ceremony","9/9/2018 0:00",0.1,"A",39.31194444,-120.1947222,"CA"
"5","ROUND LAKE",2018,"Recreation and ceremony","9/9/2018 0:00",0.1,"A",42.52638889,-122.2919444,"OR"
"6","BARLOW CROSSING",2018,"Missing data/not specified/undetermined","9/9/2018 0:00",0.17,"A",45.21055556,-121.6063889,"OR"
"7","HAUSER 1",2018,"Recreation and ceremony","9/9/2018 0:00",0.1,"A",43.48833333,-124.2302778,"OR"
"8","BEAN CREEK",2018,"Recreation and ceremony","9/9/2018 0:00",5,"B",47.41277778,-120.8566667,"WA"
"9","BEAVER LAKE",2018,"Natural","9/9/2018 0:00",0.1,"A",48.85027778,-118.9775,"WA"
"10","NICHOLSON",2018,"Natural","9/9/2018 0:00",0.3,"B",48.95333333,-118.9244444,"WA"
